Q184485|performing arts
Q7248094|professional school
Q2901852|compound of carbon
Q30017|high tide
Q2095|food
Q23397|lake
Q13629441|electric vehicle
Q214214|codification
Q8068|flood
Q24925|science fiction
Q781413|mental process
Q11773926|ecclesiastical title
Q60228812|agent processing personal data
Q1746392|small monument
Q1553482|specialized bank
Q18336849|item with given name property
Q22687|bank
Q42889|vehicle
Q208469|SI derived unit
Q1004|comics
Q11033|mass media
Q205464|algebraic structure
Q3024240|historical country
Q183366|territory
Q1107|anime
Q11086742|anime television program
Q159719|power station
Q209572|military service
Q221329|avionics
Q1293220|physical phenomenon
Q71574018|organooxygen compound
Q1621273|particle
Q134307|portrait
Q196600|media franchise
Q17512228|galaxy group or cluster
Q4801521|arts festival
Q39875001|measure
Q1496967|territorial entity
Q19386377|register
Q245016|military base
Q1427085|okrug
Q3922333|proceedings
Q527091|competence
Q79751|oligarchy
Q20092038|psychotropic drug
Q1047213|measurement tool
Q80793969|ranked list
Q179661|treatment
Q35120|something
Q29428439|hexad
Q15627509|military organization
Q18812548|campaign
Q5307737|drinking establishment
Q5135744|religious institute
Q20826827|lect
Q379755|arrangement
Q10374536|administrative territorial entity of Brazil
Q283202|harbor
Q29645886|ambassador to a country
Q28314507|recurring
Q2249149|electronic game
Q694969|jewellery chain
Q20983805|Q20983805
Q1075310|sailboat
Q2916486|administrative territorial entity of Turkey
Q15221256|city of Wisconsin
Q59674586|ice cover
Q19834818|aromatic compound
Q1322005|natural phenomenon
Q1358344|newscast
Q718570|circuit
Q225446|institute of consecrated life
Q76401672|statutory city
Q13405593|nature deity
Q21162272|means
Q30059018|operating system component
Q1263068|duplicate entry
Q170173|yacht
Q3270893|virtual business
Q170238|sitcom
Q29431432|dyad
Q1420|car
Q16831714|government building
Q20937557|series
Q755673|search algorithm
Q171308|oblast
Q24336466|mythical event
Q13415428|projection
Q3529618|academic title
Q23037160|proto-state
Q8458|human rights
Q34876|Landscape
Q39835986|sports website
Q27301420|fictional artiodactyla
Q15407649|edged and bladed weapon
Q12029|addiction
Q2065736|cultural property
Q105999|cargo ship
Q37866906|information resource
Q7834087|transformation language
Q7270|republic
Q770948|okres
Q29048322|vehicle model
Q375336|film studio
Q1208927|autonomous administrative territorial entity of China
Q3976655|administrative territorial entity of Denmark
Q375011|religious festival
Q49371|legislation
Q3193890|environmental disaster
Q1785271|cycling team
Q1520482|Weather god
Q188063|fiefdom
Q253326|cadastral municipality
Q1434505|administrative territorial entity of Indonesia
Q15893266|former entity
Q515|city
Q54115138|municipality of New Jersey
Q21070598|narrative entity
Q986008|payment system
Q1714118|online publication
Q1758354|plot
Q1306755|administrative centre
Q128207|terrestrial planet
Q3542731|fictional animal character
Q2824644|administrative territorial entity of Colombia
Q7210356|political organisation
Q15709880|serial
Q4976993|civil parish
Q620615|mobile app
Q9687|traffic collision
Q8192|writing system
Q1550557|manorialism
Q42104541|Q42104541
Q230788|grant
Q63434725|sterol lipids
Q15253558|activist
Q8072|volcano
Q15621274|enclave or exclave
Q64250307|continental competition
Q1343202|denial
Q18398645|types of towns and cities in Russia
Q15334|municipality of Poland
Q39485777|commutative Moufang loop
Q63922515|hyperlocal manufacturing
Q25297020|transborder structure
Q15711994|family of isomeric compounds
Q79719|license
Q15127012|town of the United States
Q844947|landing
Q12055729|Q12055729
Q17154431|mode of toxic action
Q638|music
Q161439|jewellery
Q27055630|Q27055630
Q3319996|flight test
Q177911|steroid
Q28813620|collection
Q27116296|local public entity
Q88569468|anthropomorphic rodent
Q10553309|legislative house
Q1307779|integrated municipality
Q489983|Reserve Officers' Training Corps
Q849275|civil time
Q6266|nation
